term,aliases,target,코드수,수입액_백만달러,수입몫_%,이미검색됨,판정,대상_법정명칭
컴퓨터부품,그래픽카드|메인보드|키보드|마우스,8473|8471,43,17779.8,2.815,0/43,OK,"제8470호부터 제8472호까지에 해당하는 기계에 전용되거나 주로 사용되는 부분품과 부속품(커버ㆍ휴대용케이스 / 자동자료처리기계와 그 단위기기, 자기식이나 광학식 판독기, 자료를 자료매체에 부호 형태로 전사하는 기계와 이"
전동기,모터|서보모터,8501,45,3552.5,0.562,45/45,이미검색됨,전동기와 발전기(발전세트는 제외한다)
발전기,발전세트,8501|8502,65,3990.3,0.632,45/65,OK,전동기와 발전기(발전세트는 제외한다) / 발전세트와 회전변환기
변압기,트랜스|인버터|충전기,8504,55,4014.3,0.636,55/55,이미검색됨,변압기·정지형 변환기(예: 정류기)와 유도자
배터리,이차전지|리튬이온전지|건전지,8507|8506,20,5570.7,0.882,0/20,OK,"축전지(격리판을 포함하며, 직사각형이나 정사각형인지에 상관없다) / 일차전지"
청소기,진공청소기|로봇청소기,8508,8,824.3,0.13,8/8,이미검색됨,진공청소기
믹서기,블렌더|주서기|푸드프로세서,850940,1,108.5,0.017,0/1,OK,"식품용 그라인더와 믹서, 과실주스·채소주스 추출기"
전자레인지,마이크로웨이브,851650,1,109.3,0.017,0/1,OK,마이크로웨이브 오븐(microwave oven)
주방가전,전기밥솥|토스터|전기오븐|전기히터|헤어드라이어,8516,17,1393.9,0.221,0/17,OK,"전기식의 즉시식·저장식 물 가열기와 투입식 가열기, 난방기기와 토양가열기, 전기가열식 이용기기[예: 헤어드라"
스마트폰,휴대폰|핸드폰|폰|셀룰러폰,851713,1,4445.7,0.704,1/1,이미검색됨,스마트폰
통신장비,라우터|공유기|기지국,8517,28,9891.3,1.566,0/28,OK,전화기(셀룰러 통신망이나 그 밖의 무선통신망용의 스마트폰과 그 밖의 전화기를 포함한다)와 음성·영상이나 그 
이어폰,헤드폰|스피커|마이크,8518,13,1474.5,0.233,13/13,이미검색됨,"마이크로폰과 그 스탠드, 확성기[인클로저(enclosure)에 장착된 것인지에 상관없다], 헤드폰과 이어폰("
카메라,캠코더|CCTV|웹캠,8525,13,985.3,0.156,13/13,이미검색됨,라디오 방송용이나 텔레비전용 송신기기(수신기기·음성 기록기기·재생기기를 갖춘 것인지에 상관없다)와 텔레비전 
TV,텔레비전|티비|모니터|디스플레이,8528,23,1796.9,0.284,1/23,OK,"텔레비전 수신기기를 갖추지 않은 모니터와 프로젝터, 텔레비전 수신용 기기(라디오 방송용 수신기기·음성이나 영"
LED,엘이디|발광다이오드,854141,2,658.8,0.104,0/2,OK,발광다이오드(엘이디)
전구,램프|조명기기,8539,22,237.8,0.038,0/22,OK,필라멘트램프나 방전램프[실드빔 램프유닛(sealed beam lamp unit)과 자외선램프나 적외선램프를 
콘덴서,커패시터|캐패시터,8532,10,1541.9,0.244,0/10,OK,축전기[고정식·가변식·조정식(프리세트)으로 한정한다]
저항기,레지스터,8533,12,347.0,0.055,12/12,이미검색됨,"전기저항기[가감저항기(rheostat)와 전위차계(potentiometer)를 포함하며, 전열용 저항체는 제"
인쇄회로,PCB|기판|인쇄회로기판,8534,3,3263.5,0.517,3/3,이미검색됨,인쇄회로
차단기,두꺼비집|배전반,8535|8536|8537,44,4822.5,0.763,5/44,OK,전기회로의 개폐용·보호용·접속용 기기[예: 개폐기·퓨즈·피뢰기·전압제한기·서지(surge)억제기·플러그와 그 / 전기회로의 개폐용·보호용·접속용 기기[예: 개폐기·계전기·퓨즈·서지(surge)억제기·플러그·소켓·램프홀더와 / 전기제어용이나 배전용 보드·패널·콘솔·책상·캐비닛과 그 밖의 기반(基盤)(제8535호나 제8536호의 기기를
반도체,웨이퍼|칩|집적회로|IC|메모리,8542|8541,49,66460.5,10.521,29/49,OK,"전자집적회로 / 반도체 디바이스(예: 다이오드·트랜지스터·반도체 기반 트랜스듀서), 감광성 반도체디바이스(광전지는 모듈에 조"
다이오드,트랜지스터|전력반도체,8541,29,4764.6,0.754,29/29,이미검색됨,"반도체 디바이스(예: 다이오드·트랜지스터·반도체 기반 트랜스듀서), 감광성 반도체디바이스(광전지는 모듈에 조"
태양광,태양전지|솔라패널|태양광모듈,854143,1,377.0,0.06,0/1,OK,광전지(모듈에 조립되었거나 패널로 구성된 것으로 한정한다)
전선,케이블|광케이블,8544,27,4821.5,0.763,27/27,이미검색됨,절연(에나멜 도포나 산화피막 처리를 한 것을 포함한다) 전선·케이블(동축케이블을 포함한다)과 그 밖의 전기절
기관차,철도차량|전동차,8601|8602|8603,8,18.6,0.003,8/8,이미검색됨,철도용 기관차(외부 전원이나 축전지로 주행하는 것으로 한정한다) / 그 밖의 철도용 기관차와 탄수차(炭水車) / 자주식(自走式) 철도용이나 궤도용 객차와 화차(제8604호의 것은 제외한다)
승용차,자동차|세단|SUV|신차|중고차,8703,34,13343.4,2.112,0/34,OK,"주로 사람을 수송할 수 있도록 설계된 승용자동차와 그 밖의 차량[제8702호의 것은 제외하며, 스테이션왜건("
전기차,EV|전기자동차|하이브리드,870380|870340,4,8861.2,1.403,0/4,OK,"그 밖의 차량(추진용 전동기만을 갖춘 것) / 그 밖의 차량(불꽃점화식 피스톤 내연기관과 추진용 모터로서의 전동기를 둘 다 갖춘 것으로서, 외부전원에 플러"
화물차,트럭|덤프트럭,8704,63,389.8,0.062,0/63,OK,화물자동차
버스,승합차|미니버스,8702,18,134.3,0.021,0/18,OK,10인 이상(운전자를 포함한다) 수송용 자동차
자동차부품,자동차부속|차부품,8708,25,5131.1,0.812,0/25,OK,부분품과 부속품(제8701호부터 제8705호까지의 차량용으로 한정한다)
오토바이,이륜차|모터사이클|스쿠터,8711,15,375.1,0.059,0/15,OK,모터사이클[모페드(moped)를 포함한다]과 보조모터를 갖춘 자전거[사이드카(side-car)를 부착하였는지
전동킥보드,킥보드|전동스쿠터,871160,2,93.4,0.015,0/2,OK,추진용 전동기를 갖춘 것
자전거,사이클|MTB,8712,3,127.8,0.02,3/3,이미검색됨,모터를 갖추지 않은 이륜 자전거와 그 밖의 자전거(배달용 삼륜 자전거를 포함한다)
전기자전거,이바이크,871160,2,93.4,0.015,0/2,OK,추진용 전동기를 갖춘 것
유모차,베이비카,8715,1,38.2,0.006,1/1,이미검색됨,유모차와 그 부분품
비행기,항공기|여객기,8802,20,2474.8,0.392,20/20,이미검색됨,"그 밖의 항공기(예: 헬리콥터·비행기)(제8806호의 무인기를 제외한다), 우주선(인공위성을 포함한다)·서보"
드론,무인기,8806,11,114.2,0.018,0/11,OK,무인기
선박,화물선|유조선|컨테이너선,8901|8902|8903|8904,27,3644.0,0.577,27/27,이미검색됨,"순항선·유람선·페리보트(ferry-boat)·화물선·부선(barge)과 이와 유사한 선박(사람이나 화물 수송 / 어선과 어획물의 가공용이나 저장용 선박 / 요트, 유람용이나 운동용 그 밖의 선박, 노를 젓는 보트와 카누 / 예인선과 푸셔크라프트(pusher craft)"
요트,보트|레저보트,8903,13,28.2,0.004,13/13,이미검색됨,"요트, 유람용이나 운동용 그 밖의 선박, 노를 젓는 보트와 카누"
콘택트렌즈,렌즈,9001,10,1173.2,0.186,10/10,이미검색됨,"광섬유와 광섬유 다발, 제8544호의 것 외의 광섬유 케이블, 편광재료(polarizing material)"
안경,선글라스|안경테,9004,5,223.9,0.035,5/5,이미검색됨,시력교정용·보호용이나 그 밖의 용도의 안경·고글과 이와 유사한 물품
현미경,광학기기,9011|9012,15,918.8,0.145,15/15,이미검색됨,광학현미경(마이크로 사진용·마이크로 영화촬영용·마이크로 영사용을 포함한다) / 광학현미경 외의 현미경과 회절기기(diffraction apparatus)
측정기,계측기|센서|오실로스코프|분석기|자동제어기,9025|9026|9027|9030|9031|9032,100,12971.2,2.053,100/100,이미검색됨,"액체비중계와 이와 유사한 부력식 측정기·온도계·고온계·기압계·습도계와 건습구 습도계(이들을 결합한 것을 포함 / 액체나 기체의 유량·액면·압력이나 그 밖의 변량(變量)의 측정용이나 검사용 기기(예: 유량계·액면계·압력계· / 물리나 화학 분석용 기기(예: 편광계·굴절계·분광계·가스나 매연 분석기), 점도·포로서티(porosity)· / 오실로스코프(Oscilloscope)·스펙트럼 분석기와 그 밖의 전기적 양의 측정용이나 검사용 기기(제902 / 그 밖의 측정용이나 검사용 기기(이 류에 따로 분류되지 않은 것으로 한정한다)와 윤곽 투영기 / 자동조절용이나 자동제어용 기기"
의료기기,주사기|수술기구|내시경,9018,45,3130.1,0.496,45/45,이미검색됨,내과용·외과용·치과용·수의과용 기기[신티그래픽(scintigraphic)식 진단기기·그 밖의 전기식 의료기기
엑스레이,CT|MRI|영상진단,9022,23,814.9,0.129,0/23,OK,엑스선이나 알파선·베타선·감마선·그 밖의 전리선을 사용하는 기기(내과용·외과용·치과용·수의과용인지에 상관없으
보청기,인공관절|임플란트|의료보조기,9021,13,812.6,0.129,13/13,이미검색됨,"정형외과용 기기(목발·외과용 벨트와 탈장대를 포함한다), 골절 치료용 부목과 그 밖의 골절 치료구, 인조 인"
체온계,온도계,902519,3,312.9,0.05,0/3,OK,기타
시계,손목시계|스마트워치,9101|9102,31,1055.3,0.167,31/31,이미검색됨,"손목시계·회중시계와 그 밖의 휴대용 시계(스톱워치를 포함하며, 케이스를 귀금속으로 만든 것이나 귀금속을 입힌 / 손목시계·회중시계와 그 밖의 휴대용 시계(스톱워치를 포함하되 제9101호의 것은 제외한다)"
악기,기타|피아노|바이올린,9201|9202|9207,15,104.2,0.016,15/15,이미검색됨,피아노(자동피아노를 포함한다)·하프시코드(harpsichord)와 그 밖의 건반이 있는 현악기 / 그 밖의 현악기(예: 기타·바이올린·하프) / 전기적으로 음이 발생하거나 증폭되는 악기(예: 오르간·기타·아코디언)
의자,사무용의자|소파,9401,23,1554.8,0.246,23/23,이미검색됨,의자(침대로 겸용할 수 있는지에 상관없으며 제9402호의 것은 제외한다)와 그 부분품
가구,책상|책장|수납장,9403,20,1077.5,0.171,20/20,이미검색됨,그 밖의 가구와 그 부분품
침대,매트리스|이불솜,9404,6,518.7,0.082,1/6,OK,"매트리스 서포트(mattress support), 침구와 이와 유사한 물품[예: 매트리스·이불·우모이불·쿠션"
조명,전등|램프기구|샹들리에,9405,23,622.9,0.099,23/23,이미검색됨,"조명기구[서치라이트(searchlight)·스포트라이트(spotlight)와 이들의 부분품을 포함하고, 따로"
장난감,완구|인형|블록,9503,34,954.1,0.151,0/34,OK,"세발자전거·스쿠터·페달 자동차와 이와 유사한 바퀴가 달린 완구, 인형용 차, 인형과 그 밖의 완구, 축소 모"
게임기,콘솔|보드게임|카지노기기,9504,17,485.9,0.077,17/17,이미검색됨,"비디오게임 콘솔과 비디오게임기, 테이블게임용구나 실내게임용구(핀테이블용구·당구용구·카지노게임용 특수테이블·자"
골프채,골프클럽|골프용품,9506,27,1001.1,0.158,4/27,OK,"일반적으로 육체적 운동·체조·육상·그 밖의 운동에 사용하는 물품(탁구용품을 포함한다), 옥외게임용품(이 류에"
운동기구,헬스기구|러닝머신,9506,27,1001.1,0.158,0/27,OK,"일반적으로 육체적 운동·체조·육상·그 밖의 운동에 사용하는 물품(탁구용품을 포함한다), 옥외게임용품(이 류에"
낚시,낚싯대|낚시용품,9507,7,141.0,0.022,7/7,이미검색됨,"낚싯대·낚싯바늘과 그 밖의 낚시용구, 낚시용 망·포충망(捕蟲網)과 이와 유사한 망, 조류 유인용구(제9208"
칫솔,브러시|빗자루,9603,7,263.0,0.042,2/7,OK,비·브러시(기계·기구·차량 등의 부분품을 구성하는 브러시를 포함한다)·모터를 갖추지 않은 기계식 바닥청소기(
라이터,성냥,9613,4,22.1,0.003,4/4,이미검색됨,담배 라이터와 그 밖의 라이터(기계식이나 전기식인지에 상관없다)와 이들의 부분품(라이터 돌과 심지는 제외한다
볼펜,펜|연필|필기구,9608|9609,19,143.3,0.023,11/19,OK,"볼펜, 팁(tip)이 펠트로 된 것과 그 밖의 포러스팁(porous-tip)으로 된 펜과 마커, 만년필·철필 / 연필(제9608호의 펜슬은 제외한다)·크레용·연필심·파스텔·도화용 목탄·필기용이나 도화용 초크와 재단사용 초"
소고기,쇠고기|한우|소갈비|등심,0201|0202,8,3852.0,0.61,0/8,OK,쇠고기(신선한 것이나 냉장한 것으로 한정한다) / 쇠고기(냉동한 것으로 한정한다)
돼지고기,삼겹살|목살|돈육,0203,8,2050.9,0.325,8/8,이미검색됨,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
닭고기,치킨|계육|닭다리,0207,45,492.4,0.078,0/45,OK,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
양고기,램|양꼬치,0204,9,265.9,0.042,0/9,OK,"면양과 염소의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
소시지,햄|베이컨|육가공품,1601|1602,22,261.0,0.041,2/22,OK,소시지나 그 밖에 이와 유사한 물품[육·설육(屑肉)·피·곤충으로 조제한 것으로 한정한다]과 이들 물품을 기본 / 그 밖의 조제하거나 보존처리한 육·설육(屑肉)·피·곤충
생선,어류|활어,0301|0302|0303,166,1780.9,0.282,0/166,OK,활어 / 신선하거나 냉장한 어류[제0304호의 어류의 필레(fillet)와 그 밖의 어육은 제외한다] / 냉동어류[제0304호의 어류의 필레(fillet)와 기타 어육은 제외한다]
연어,훈제연어,0302|0303|0304,204,2211.5,0.35,12/204,OK,"신선하거나 냉장한 어류[제0304호의 어류의 필레(fillet)와 그 밖의 어육은 제외한다] / 냉동어류[제0304호의 어류의 필레(fillet)와 기타 어육은 제외한다] / 어류의 필레(fillet)와 그 밖의 어육(잘게 썰었는지에 상관없으며, 신선한 것·냉장한 것·냉동한 것으로 "
참치,다랑어|참치캔,0302|0303|1604,166,1659.3,0.263,0/166,OK,"신선하거나 냉장한 어류[제0304호의 어류의 필레(fillet)와 그 밖의 어육은 제외한다] / 냉동어류[제0304호의 어류의 필레(fillet)와 기타 어육은 제외한다] / 조제하거나 보존처리한 어류, 캐비어, 어란(魚卵)으로 조제한 캐비어 대용물"
고등어,삼치,0302|0303,132,1420.3,0.225,20/132,OK,신선하거나 냉장한 어류[제0304호의 어류의 필레(fillet)와 그 밖의 어육은 제외한다] / 냉동어류[제0304호의 어류의 필레(fillet)와 기타 어육은 제외한다]
명태,동태|코다리|황태,0303,74,1163.0,0.184,1/74,OK,냉동어류[제0304호의 어류의 필레(fillet)와 기타 어육은 제외한다]
갈치,조기|굴비,0303,74,1163.0,0.184,1/74,OK,냉동어류[제0304호의 어류의 필레(fillet)와 기타 어육은 제외한다]
새우,대하|흰다리새우,0306,46,1171.6,0.185,21/46,OK,갑각류(껍데기가 붙어 있는 것인지에 상관없으며 살아 있는 것과 신선한 것·냉장한 것·냉동한 것·건조한 것·염
게,대게|킹크랩|꽃게,0306,46,1171.6,0.185,11/46,OK,갑각류(껍데기가 붙어 있는 것인지에 상관없으며 살아 있는 것과 신선한 것·냉장한 것·냉동한 것·건조한 것·염
오징어,낙지|문어|주꾸미,0307,87,1247.8,0.198,14/87,OK,"연체동물(껍데기가 붙어 있는 것인지에 상관없으며, 살아 있는 것과 신선한 것·냉장한 것·냉동한 것·건조한 것"
조개,홍합|바지락|전복|굴,0307,87,1247.8,0.198,24/87,OK,"연체동물(껍데기가 붙어 있는 것인지에 상관없으며, 살아 있는 것과 신선한 것·냉장한 것·냉동한 것·건조한 것"
김,조미김|마른김,1212,75,52.9,0.008,0/75,OK,로커스트콩(locust bean)·해초류와 그 밖의 조류(藻類)·사탕무와 사탕수수(신선한 것·냉장이나 냉동한
미역,다시마|해조류,1212,75,52.9,0.008,0/75,OK,로커스트콩(locust bean)·해초류와 그 밖의 조류(藻類)·사탕무와 사탕수수(신선한 것·냉장이나 냉동한
우유,생우유|멸균우유,0401,6,235.6,0.037,0/6,OK,밀크와 크림(농축하지 않은 것으로서 설탕이나 그 밖의 감미료를 첨가하지 않은 것으로 한정한다)
분유,조제분유,0402,10,67.4,0.011,2/10,OK,밀크와 크림(농축하였거나 설탕이나 그 밖의 감미료를 첨가한 것으로 한정한다)
버터,유지방,0405,3,308.9,0.049,3/3,이미검색됨,"버터와 그 밖의 지방과 기름(밀크에서 얻은 것으로 한정한다), 데어리 스프레드(dairy spread)"
치즈,모차렐라|체다,0406,12,835.2,0.132,12/12,이미검색됨,치즈와 커드(curd)
계란,달걀|난황,0407|0408,10,21.6,0.003,0/10,OK,"새의 알(껍질이 붙은 것으로서 신선한 것, 보존처리하거나 조리한 것으로 한정한다) / 새의 알(껍질이 붙지 않은 것)과 알의 노른자위(신선한 것, 건조한 것, 물에 삶았거나 찐 것, 성형한 것,"
꿀,벌꿀|천연꿀,0409,1,21.3,0.003,1/1,이미검색됨,천연꿀
감자,고구마|알감자,0701|0714,22,53.4,0.008,22/22,이미검색됨,감자(신선한 것이나 냉장한 것으로 한정한다) / 매니옥(manioc)ㆍ칡뿌리ㆍ살렙(salep)ㆍ돼지감자(Jerusalem artichoke)ㆍ고구마와 그 밖
토마토,방울토마토,0702,2,0.0,0.0,2/2,이미검색됨,토마토(신선한 것이나 냉장한 것으로 한정한다)
양파,적양파,070310,3,41.2,0.007,3/3,이미검색됨,양파와 샬롯(shallot)
마늘,깐마늘|다진마늘,070320,2,1.8,0.0,2/2,이미검색됨,마늘
대파,쪽파|파,070390,4,8.0,0.001,1/4,OK,리크(leek)와 그 밖의 파속의 채소
배추,양배추|브로콜리,0704,5,38.4,0.006,5/5,이미검색됨,양배추·꽃양배추·콜라비(kohlrabi)·케일(kale)과 그 밖에 이와 유사한 식용 배추속(신선한 것이나 
상추,시금치|쌈채소,0705|0709,29,84.5,0.013,4/29,OK,상추[락투카 사티바(Lactuca sativa)]와 치커리(chicory)[시커리엄(Cichorium)속]( / 그 밖의 채소(신선한 것이나 냉장한 것으로 한정한다)
당근,무|순무,0706,7,95.7,0.015,7/7,이미검색됨,당근·순무·샐러드용 비트(beetroot)·선모(仙茅)·셀러리액(celeriac)·무와 그 밖에 이와 유사한
오이,호박|가지|애호박,0707|0709,26,57.0,0.009,1/26,OK,오이류(신선한 것이나 냉장한 것으로 한정한다) / 그 밖의 채소(신선한 것이나 냉장한 것으로 한정한다)
버섯,표고버섯|새송이,0709|0712,55,161.7,0.026,23/55,OK,"그 밖의 채소(신선한 것이나 냉장한 것으로 한정한다) / 건조한 채소(원래 모양인 것, 절단한 것, 얇게 썬 것, 부순 것, 가루 모양인 것으로 한정하며, 더 이상 "
녹두,팥|채두류|렌틸,0713,17,99.3,0.016,2/17,OK,건조한 채두류(菜豆類)(꼬투리가 없는 것으로서 껍질을 제거한 것인지 또는 쪼갠 것인지에 상관없다)
콩나물,숙주,070999,4,15.2,0.002,0/4,OK,기타
바나나,플랜틴,0803,2,315.9,0.05,2/2,이미검색됨,"바나나[플랜틴(plantain)을 포함하며, 신선하거나 건조한 것으로 한정한다]"
망고,파인애플|아보카도|구아바,0804,7,243.9,0.039,7/7,이미검색됨,대추야자·무화과·파인애플·아보카도(avocado)·구아바(guava)·망고(mango)·망고스틴(mangos
오렌지,귤|레몬|자몽|라임,0805,10,270.6,0.043,1/10,OK,감귤류의 과실(신선하거나 건조한 것으로 한정한다)
포도,샤인머스캣|건포도,0806,2,112.7,0.018,2/2,이미검색됨,포도(신선하거나 건조한 것으로 한정한다)
멜론,수박|참외,0807,4,9.4,0.001,4/4,이미검색됨,멜론(수박을 포함한다)과 포포(papaw)[파파야(papaya)](신선한 것으로 한정한다)
사과,배,0808,3,0.1,0.0,3/3,이미검색됨,사과·배·마르멜로(quince)(신선한 것으로 한정한다)
체리,복숭아|자두|살구,0809,6,150.8,0.024,6/6,이미검색됨,살구·체리·복숭아[넥터린(nectarine)을 포함한다]·자두·슬로(sloe)(신선한 것으로 한정한다)
블루베리,딸기|키위|크랜베리,0810,11,287.9,0.046,0/11,OK,그 밖의 과실(신선한 것으로 한정한다)
견과,아몬드|호두|캐슈넛|피스타치오,0802,19,372.0,0.059,19/19,이미검색됨,"그 밖의 견과류(신선하거나 건조한 것으로 한정하며, 껍데기나 껍질을 벗겼는지에 상관없다)"
대추,건대추|곶감|건조과실,0813,7,17.4,0.003,1/7,OK,"건조한 과실(제0801호부터 제0806호까지에 해당하는 것은 제외한다), 이 류의 견과류나 건조한 과실의 혼"
커피,원두|생두|커피콩,0901,6,1699.2,0.269,6/6,이미검색됨,"커피(볶았는지, 카페인을 제거했는지에 상관없다), 커피의 껍데기와 껍질, 커피를 함유한 커피 대용물(커피의 "
차,녹차|홍차|티백,0902,4,19.7,0.003,4/4,이미검색됨,차류(맛과 향을 첨가했는지에 상관없다)
후추,흑후추|백후추,090411|090412,2,61.8,0.01,2/2,이미검색됨,부수지도 잘게 부수지도 않은 것 / 부수거나 잘게 부순 것
고추,건고추|고춧가루|파프리카,090421|090422,2,21.4,0.003,2/2,이미검색됨,건조한 것(부수지도 잘게 부수지도 않은 것) / 부수거나 잘게 부순 것
계피,시나몬|정향|육두구,0906|0907|0908,11,10.4,0.002,3/11,OK,계피와 계피나무의 꽃 / 정향(丁香)(과실·꽃·꽃대로 한정한다) / 육두구(肉荳蔲)·메이스(mace)·소두구(小荳蔲)
생강,건생강|생강가루,0910,14,16.8,0.003,14/14,이미검색됨,생강·사프란(saffron)·심황[강황(薑黃)]·타임(thyme)·월계수 잎·카레와 그 밖의 향신료
강황,울금|카레가루,091030,1,2.8,0.0,1/1,이미검색됨,심황[강황(薑黃)]
쌀,백미|현미|찹쌀,1006,6,275.2,0.044,6/6,이미검색됨,쌀
밀,소맥|밀가루,1001|1101,12,1327.2,0.21,12/12,이미검색됨,밀과 메슬린(meslin) / 밀가루나 메슬린(meslin) 가루
옥수수,콘|사료용옥수수,1005,4,2807.1,0.444,4/4,이미검색됨,옥수수
보리,귀리|호밀|메밀,1003|1004|1008,20,47.6,0.008,8/20,OK,보리 / 귀리 / 메밀·밀리트(millet)·카나리시드(canary seed)와 그 밖의 곡물
콩,대두|메주콩,1201,6,617.9,0.098,2/6,OK,대두(부수었는지에 상관없다)
참깨,깨|들깨,1207,13,270.8,0.043,1/13,OK,그 밖의 채유(採油)에 적합한 종자와 과실(부수었는지에 상관없다)
땅콩,낙화생,1202,4,1.9,0.0,4/4,이미검색됨,"땅콩(볶거나 그 밖의 조리를 한 것은 제외하며, 껍데기를 벗겼는지, 부수었는지에 상관없다)"
전분,녹말|타피오카,1108,9,162.2,0.026,9/9,이미검색됨,전분과 이눌린(inulin)
팜유,팜올레인,1511,4,658.8,0.104,4/4,이미검색됨,팜유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
대두유,콩기름|카놀라유|해바라기유,1507|1512|1514,24,818.8,0.13,7/24,OK,"대두유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다) / 해바라기씨유·잇꽃유·목화씨유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다) / 유채유(rape oil, colza oil), 겨자유와 이들의 분획물(정제했는지에 상관없으며 화학적으로 변성"
올리브유,올리브오일,1509,4,291.7,0.046,4/4,이미검색됨,올리브유와 그 분획물(정제했는지에 상관없으며 화학적으로 변성 가공한 것은 제외한다)
참기름,들기름,1515,13,139.2,0.022,1/13,OK,그 밖의 비휘발성인 식물성·미생물성 지방과 기름[호호바유(jojoba oil)를 포함한다]과 그 분획물(정제
설탕,원당|백설탕,1701,7,764.2,0.121,7/7,이미검색됨,"사탕수수당이나 사탕무당, 화학적으로 순수한 자당(蔗糖)(고체 상태인 것으로 한정한다)"
사탕,캔디|젤리|껌,1704,6,340.4,0.054,0/6,OK,"설탕과자(백색 초콜릿을 포함하며, 코코아를 함유한 것은 제외한다)"
초콜릿,코코아|초코,1806|1801,27,461.6,0.073,25/27,OK,초콜릿과 코코아를 함유한 그 밖의 조제 식료품 / 코코아두(원래 모양이나 부순 것으로서 생 것이나 볶은 것으로 한정한다)
라면,즉석면|파스타|스파게티,1902,12,251.9,0.04,1/12,OK,파스타[조리한 것인지 또는 육(肉)이나 그 밖의 물품으로 속을 채운 것인지에 상관없으며 스파게티·마카로니·누
시리얼,콘플레이크|뻥튀기,1904,10,66.5,0.011,0/10,OK,곡물이나 곡물 가공품을 팽창시키거나 볶아서 얻은 조제 식료품[예: 콘 플레이크(corn flake)]과 낱알
빵,과자|비스킷|쿠키|와플,1905,14,547.2,0.087,14/14,이미검색됨,"빵·파이·케이크·비스킷과 그 밖의 베이커리 제품(코코아를 함유하였는지에 상관없다), 성찬용 웨이퍼·제약용에 "
잼,과일잼|마멀레이드,2007,5,28.3,0.004,5/5,이미검색됨,잼·과실젤리·마멀레이드(marmalade)·과실이나 견과류의 퓨레(purée)·과실이나 견과류의 페이스트(p
주스,과일주스|오렌지주스,2009,30,261.8,0.041,30/30,이미검색됨,과실·견과류 주스(포도즙과 코코넛 워터를 포함한다)·채소 주스[발효하지 않고 주정을 함유하지 않은 것(설탕이
커피믹스,인스턴트커피|믹스커피,2101,11,196.8,0.031,0/11,OK,커피·차·마테(maté)의 추출물(extract)·에센스(essence)·농축물과 이것들을 기본 재료로 한 
효모,베이킹파우더,2102,13,61.1,0.01,13/13,이미검색됨,"효모(활성이거나 불활성인 것), 그 밖의 단세포 미생물(죽은 것으로 한정하며, 제3002호의 백신은 제외한다"
소스,케첩|간장|마요네즈|드레싱,2103,15,364.8,0.058,15/15,이미검색됨,"소스와 소스용 조제품, 혼합조미료, 겨자의 고운 가루·거친 가루와 조제한 겨자"
라면스프,조미료|MSG|다시다|글루탐산,2103|2106|292242,41,2581.9,0.409,0/41,OK,"소스와 소스용 조제품, 혼합조미료, 겨자의 고운 가루·거친 가루와 조제한 겨자 / 따로 분류되지 않은 조제 식료품 / 글루탐산과 그 염"
아이스크림,빙과,2105,4,85.1,0.013,4/4,이미검색됨,아이스크림과 그 밖의 빙과류(코코아를 함유했는지에 상관없다)
생수,광천수|먹는샘물,2201,3,57.7,0.009,0/3,OK,"물(천연이나 인조 광천수와 탄산수를 포함하며, 설탕이나 그 밖의 감미료 또는 맛이나 향을 첨가하지 않은 것으"
음료,탄산음료|콜라|사이다|에너지드링크,2202,7,134.4,0.021,7/7,이미검색됨,설탕이나 그 밖의 감미료 또는 맛이나 향을 첨가한 물(광천수와 탄산수를 포함한다)과 그 밖의 알코올을 함유하
맥주,생맥주|수입맥주,2203,1,215.8,0.034,1/1,이미검색됨,맥주
와인,포도주|샴페인,2204,11,434.3,0.069,0/11,OK,"포도주(생포도로 제조한 것으로 한정하며, 알코올로 강화한 포도주를 포함한다)와 포도즙(제2009호의 것은 제"
막걸리,청주|사케|정종,2206,9,52.2,0.008,0/9,OK,"그 밖의 발효주[예: 사과술·배술·미드(mead)·청주(saké)], 따로 분류되지 않은 발효주의 혼합물, "
위스키,보드카|럼|진|브랜디|소주,2208,17,304.9,0.048,4/17,OK,"변성하지 않은 에틸알코올(알코올의 용량이 전 용량의 100분의 80 미만인 것으로 한정한다), 증류주·리큐르"
사료,배합사료|반려동물사료|개사료|고양이사료,2309,18,611.0,0.097,18/18,이미검색됨,사료용 조제품
담배,궐련|시가,2402,6,74.5,0.012,6/6,이미검색됨,시가(cigar)·셔루트(cheroot)·시가릴로(cigarillo)·궐련(담배나 담배 대용물인 것으로 한정
전자담배,액상담배|궐련형전자담배,2404,9,141.6,0.022,2/9,OK,담배·재구성한 담배·니코틴이나 담배 대용물·니코틴 대용물을 함유한 물품(연소시키지 않고 흡입하도록 만들어진 
밸브,볼밸브|게이트밸브|체크밸브|콕,8481,13,2908.4,0.46,13/13,이미검색됨,파이프·보일러 동체·탱크·통이나 이와 유사한 물품에 사용하는 탭·코크·밸브와 이와 유사한 장치(감압밸브와 온
